count,command,pushing_to_server_required
223,"apparmor=""DENIED""",yes
224,Changed attributes:,yes
225,is owned by root and has written permissions to anyone,yes
226,Changed attributes:,yes
227,The SSH agent was already initialized,no
228,"apparmor=""DENIED""",yes
229,The Secret Service was already initialized,yes
230,is owned by root and has written permissions to anyone,yes
231,Changed attributes:,yes
232,The SSH agent was already initialized,no
233,The SSH agent was already initialized,no
234,Registered Authentication Agent,yes
235,Accepted password for root from ,yes
236,The Secret Service was already initialized,yes
237,Removed session,no
238,The SSH agent was already initialized,no
239,"apparmor=""DENIED""",yes
240,USER=root ; COMMAND=,yes
241,Removed session,no
242,Removed session,no
243,Accepted password for root from ,yes
244,Registered Authentication Agent,yes
245,The Secret Service was already initialized,yes
246,Changed attributes:,yes
247,Accepted password for root from ,yes
248,Accepted password for root from ,yes
249,Changed attributes:,yes
250,"apparmor=""DENIED""",yes
251,Removed session,no
252,Accepted password for root from ,yes
253,USER=root ; COMMAND=,yes
254,The Secret Service was already initialized,yes
255,session closed,no
256,Accepted password for root from ,yes
257,Changed attributes:,yes
258,The SSH agent was already initialized,no
259,"apparmor=""DENIED""",yes
260,session closed,no
261,Removed session,no
262,The SSH agent was already initialized,no
263,Changed attributes:,yes
264,The Secret Service was already initialized,yes
265,Accepted password for root from ,yes
266,USER=root ; COMMAND=,yes
267,Changed attributes:,yes
268,The SSH agent was already initialized,no
269,Changed attributes:,yes
270,Removed session,no
271,session closed,no
272,The SSH agent was already initialized,no
273,USER=root ; COMMAND=,yes
274,Accepted password for root from ,yes
275,is owned by root and has written permissions to anyone,yes
276,session opened,yes
277,Registered Authentication Agent,yes
278,is owned by root and has written permissions to anyone,yes
279,Changed attributes:,yes
280,Changed attributes:,yes
281,Accepted password for root from ,yes
282,Removed session,no
283,session opened,yes
284,The Secret Service was already initialized,yes
285,Accepted password for root from ,yes
286,"apparmor=""DENIED""",yes
287,Accepted password for root from ,yes
288,session opened,yes
289,The SSH agent was already initialized,no
290,Removed session,no
291,Changed attributes:,yes
292,Removed session,no
293,Accepted password for root from ,yes
294,Changed attributes:,yes
295,Changed attributes:,yes
296,Registered Authentication Agent,yes
297,session closed,no
298,session closed,no
299,Registered Authentication Agent,yes
300,Removed session,no
301,Removed session,no
302,Changed attributes:,yes
303,Changed attributes:,yes
304,Removed session,no
305,Accepted password for root from ,yes
306,Accepted password for root from ,yes
307,session closed,no
308,session opened,yes
309,"apparmor=""DENIED""",yes
310,"apparmor=""DENIED""",yes
311,Changed attributes:,yes
312,Registered Authentication Agent,yes
313,session opened,yes
314,Accepted password for root from ,yes
315,"apparmor=""DENIED""",yes
316,Removed session,no
317,Registered Authentication Agent,yes
318,is owned by root and has written permissions to anyone,yes
319,The Secret Service was already initialized,yes
320,Accepted password for root from ,yes
321,session closed,no
322,"apparmor=""DENIED""",yes
323,Accepted password for root from ,yes
324,Accepted password for root from ,yes
325,Registered Authentication Agent,yes
326,Registered Authentication Agent,yes
327,The SSH agent was already initialized,no
328,Changed attributes:,yes
329,USER=root ; COMMAND=,yes
330,session closed,no
331,session opened,yes
332,Registered Authentication Agent,yes
333,USER=root ; COMMAND=,yes
334,Removed session,no
335,session opened,yes
336,Accepted password for root from ,yes
337,Registered Authentication Agent,yes
338,The SSH agent was already initialized,no
339,Removed session,no
340,Accepted password for root from ,yes
341,session opened,yes
342,Accepted password for root from ,yes
343,session opened,yes
344,"apparmor=""DENIED""",yes
345,The Secret Service was already initialized,yes
346,Accepted password for root from ,yes
347,session opened,yes
348,session closed,no
349,Accepted password for root from ,yes
350,"apparmor=""DENIED""",yes
351,Accepted password for root from ,yes
352,session opened,yes
353,"apparmor=""DENIED""",yes
354,USER=root ; COMMAND=,yes
355,Registered Authentication Agent,yes
356,Removed session,no
357,session opened,yes
358,session opened,yes
359,session opened,yes
360,Removed session,no
361,"apparmor=""DENIED""",yes
362,session closed,no
363,Accepted password for root from ,yes
364,Accepted password for root from ,yes
365,Removed session,no
366,USER=root ; COMMAND=,yes
367,Accepted password for root from ,yes
368,Accepted password for root from ,yes
369,session opened,yes
370,session opened,yes
371,"apparmor=""DENIED""",yes
372,USER=root ; COMMAND=,yes
373,is owned by root and has written permissions to anyone,yes
374,session closed,no
375,session opened,yes
376,Changed attributes:,yes
377,Registered Authentication Agent,yes
378,session opened,yes
379,session opened,yes
380,Accepted password for root from ,yes
381,Changed attributes:,yes
382,"apparmor=""DENIED""",yes
383,The SSH agent was already initialized,no
384,Registered Authentication Agent,yes
385,USER=root ; COMMAND=,yes
386,USER=root ; COMMAND=,yes
387,"apparmor=""DENIED""",yes
388,The Secret Service was already initialized,yes
389,Changed attributes:,yes
390,Removed session,no
391,Registered Authentication Agent,yes
392,"apparmor=""DENIED""",yes
393,session closed,no
394,Removed session,no
395,Accepted password for root from ,yes
396,Changed attributes:,yes
397,session opened,yes
398,Changed attributes:,yes
399,session opened,yes
400,session opened,yes
401,Changed attributes:,yes
402,session opened,yes
403,Accepted password for root from ,yes
404,Changed attributes:,yes
405,Accepted password for root from ,yes
406,The Secret Service was already initialized,yes
407,session opened,yes
408,session opened,yes
409,Changed attributes:,yes
410,Accepted password for root from ,yes
411,The SSH agent was already initialized,no
412,Removed session,no
413,USER=root ; COMMAND=,yes
414,Accepted password for root from ,yes
415,The Secret Service was already initialized,yes
416,"apparmor=""DENIED""",yes
417,Registered Authentication Agent,yes
418,session opened,yes
419,USER=root ; COMMAND=,yes
420,session opened,yes
421,Changed attributes:,yes
422,Changed attributes:,yes
423,Removed session,no
424,Accepted password for root from ,yes
425,Removed session,no
426,The SSH agent was already initialized,no
427,Registered Authentication Agent,yes
428,"apparmor=""DENIED""",yes
429,Changed attributes:,yes
430,Changed attributes:,yes
431,The Secret Service was already initialized,yes
432,"apparmor=""DENIED""",yes
433,session opened,yes
434,"apparmor=""DENIED""",yes
435,session opened,yes
436,session closed,no
437,The SSH agent was already initialized,no
438,session closed,no
439,session opened,yes
440,Accepted password for root from ,yes
441,session opened,yes
442,Changed attributes:,yes
443,Removed session,no
444,Changed attributes:,yes
445,session opened,yes
446,The SSH agent was already initialized,no
447,The SSH agent was already initialized,no
448,session opened,yes
449,Accepted password for root from ,yes
450,"apparmor=""DENIED""",yes
451,Registered Authentication Agent,yes
452,"apparmor=""DENIED""",yes
453,Removed session,no
454,Removed session,no
455,Accepted password for root from ,yes
456,Removed session,no
457,The Secret Service was already initialized,yes
458,The SSH agent was already initialized,no
459,USER=root ; COMMAND=,yes
460,is owned by root and has written permissions to anyone,yes
461,"apparmor=""DENIED""",yes
462,"apparmor=""DENIED""",yes
463,USER=root ; COMMAND=,yes
464,"apparmor=""DENIED""",yes
465,The Secret Service was already initialized,yes
466,Removed session,no
467,"apparmor=""DENIED""",yes
468,The Secret Service was already initialized,yes
469,The Secret Service was already initialized,yes
470,Removed session,no
471,Accepted password for root from ,yes
472,Changed attributes:,yes
473,The Secret Service was already initialized,yes
474,Changed attributes:,yes
475,session opened,yes
476,Registered Authentication Agent,yes
477,The SSH agent was already initialized,no
478,Accepted password for root from ,yes
479,session opened,yes
480,session closed,no
481,session opened,yes
482,session opened,yes
483,Changed attributes:,yes
484,Removed session,no
485,Changed attributes:,yes
486,"apparmor=""DENIED""",yes
487,session opened,yes
488,"apparmor=""DENIED""",yes
489,session closed,no
490,Changed attributes:,yes
491,session closed,no
492,"apparmor=""DENIED""",yes
493,"apparmor=""DENIED""",yes
494,Accepted password for root from ,yes
495,Registered Authentication Agent,yes
496,The SSH agent was already initialized,no
497,"apparmor=""DENIED""",yes
498,Changed attributes:,yes
499,Accepted password for root from ,yes
500,"apparmor=""DENIED""",yes
501,"apparmor=""DENIED""",yes
502,session closed,no
503,Changed attributes:,yes
504,Changed attributes:,yes
505,Accepted password for root from ,yes
506,Changed attributes:,yes
507,"apparmor=""DENIED""",yes
508,is owned by root and has written permissions to anyone,yes
509,"apparmor=""DENIED""",yes
510,is owned by root and has written permissions to anyone,yes
511,Changed attributes:,yes
512,Registered Authentication Agent,yes
513,The SSH agent was already initialized,no
514,is owned by root and has written permissions to anyone,yes
515,Removed session,no
516,Changed attributes:,yes
517,Removed session,no
518,session opened,yes
519,Changed attributes:,yes
520,Changed attributes:,yes
521,USER=root ; COMMAND=,yes
522,Removed session,no
523,The Secret Service was already initialized,yes
524,Accepted password for root from ,yes
525,session closed,no
526,Registered Authentication Agent,yes
527,Changed attributes:,yes
528,Accepted password for root from ,yes
529,session opened,yes
530,"apparmor=""DENIED""",yes
531,"apparmor=""DENIED""",yes
532,is owned by root and has written permissions to anyone,yes
533,USER=root ; COMMAND=,yes
534,Accepted password for root from ,yes
535,"apparmor=""DENIED""",yes
536,Accepted password for root from ,yes
537,Changed attributes:,yes
538,session opened,yes
539,Registered Authentication Agent,yes
540,Removed session,no
541,session opened,yes
542,The Secret Service was already initialized,yes
543,Removed session,no
544,Accepted password for root from ,yes
545,Changed attributes:,yes
546,Registered Authentication Agent,yes
547,session closed,no
548,Accepted password for root from ,yes
549,is owned by root and has written permissions to anyone,yes
550,Removed session,no
551,"apparmor=""DENIED""",yes
552,session opened,yes
553,"apparmor=""DENIED""",yes
554,USER=root ; COMMAND=,yes
555,Changed attributes:,yes
556,session opened,yes
557,Registered Authentication Agent,yes
558,The Secret Service was already initialized,yes
559,"apparmor=""DENIED""",yes
560,Changed attributes:,yes
561,session closed,no
562,Changed attributes:,yes
563,session opened,yes
564,session closed,no
565,session opened,yes
566,The SSH agent was already initialized,no
567,Accepted password for root from ,yes
568,session opened,yes
569,Changed attributes:,yes
570,Accepted password for root from ,yes
571,Changed attributes:,yes
572,"apparmor=""DENIED""",yes
573,Registered Authentication Agent,yes
574,"apparmor=""DENIED""",yes
575,Removed session,no
576,Changed attributes:,yes
577,Accepted password for root from ,yes
578,Accepted password for root from ,yes
579,"apparmor=""DENIED""",yes
580,The Secret Service was already initialized,yes
581,"apparmor=""DENIED""",yes
582,USER=root ; COMMAND=,yes
583,Accepted password for root from ,yes
584,session opened,yes
585,is owned by root and has written permissions to anyone,yes
586,session opened,yes
587,session opened,yes
588,Accepted password for root from ,yes
589,is owned by root and has written permissions to anyone,yes
590,Changed attributes:,yes
591,Accepted password for root from ,yes
592,session closed,no
593,session opened,yes
594,Removed session,no
595,Changed attributes:,yes
596,Changed attributes:,yes
597,is owned by root and has written permissions to anyone,yes
598,Changed attributes:,yes
599,Changed attributes:,yes
600,session opened,yes
601,The Secret Service was already initialized,yes
602,"apparmor=""DENIED""",yes
603,USER=root ; COMMAND=,yes
604,The SSH agent was already initialized,no
605,Registered Authentication Agent,yes
606,The Secret Service was already initialized,yes
607,is owned by root and has written permissions to anyone,yes
608,session closed,no
609,Removed session,no
610,The Secret Service was already initialized,yes
611,session closed,no
612,USER=root ; COMMAND=,yes
613,Changed attributes:,yes
614,USER=root ; COMMAND=,yes
615,The SSH agent was already initialized,no
616,Changed attributes:,yes
617,Removed session,no
618,Changed attributes:,yes
619,Changed attributes:,yes
620,"apparmor=""DENIED""",yes
621,Removed session,no
622,Changed attributes:,yes
623,Changed attributes:,yes
624,Removed session,no
625,"apparmor=""DENIED""",yes
626,Changed attributes:,yes
627,USER=root ; COMMAND=,yes
628,session opened,yes
629,Changed attributes:,yes
630,Changed attributes:,yes
631,Removed session,no
632,Removed session,no
633,session opened,yes
634,USER=root ; COMMAND=,yes
635,Accepted password for root from ,yes
636,session opened,yes
637,"apparmor=""DENIED""",yes
638,USER=root ; COMMAND=,yes
639,session opened,yes
640,Changed attributes:,yes
641,"apparmor=""DENIED""",yes
642,The Secret Service was already initialized,yes
643,session opened,yes
644,session opened,yes
645,Accepted password for root from ,yes
646,The Secret Service was already initialized,yes
647,Accepted password for root from ,yes
648,Changed attributes:,yes
649,session opened,yes
650,Accepted password for root from ,yes
651,The Secret Service was already initialized,yes
652,Accepted password for root from ,yes
653,Accepted password for root from ,yes
654,session opened,yes
655,"apparmor=""DENIED""",yes
656,"apparmor=""DENIED""",yes
657,Removed session,no
658,session opened,yes
659,Accepted password for root from ,yes
660,Registered Authentication Agent,yes
661,Changed attributes:,yes
662,Removed session,no
663,Removed session,no
664,USER=root ; COMMAND=,yes
665,Registered Authentication Agent,yes
666,Accepted password for root from ,yes
667,Removed session,no
668,"apparmor=""DENIED""",yes
669,session closed,no
670,Accepted password for root from ,yes
671,session opened,yes
672,session closed,no
673,Accepted password for root from ,yes
674,USER=root ; COMMAND=,yes
675,Registered Authentication Agent,yes
676,Registered Authentication Agent,yes
677,Accepted password for root from ,yes
678,is owned by root and has written permissions to anyone,yes
679,Removed session,no
680,USER=root ; COMMAND=,yes
681,The Secret Service was already initialized,yes
682,Removed session,no
683,Removed session,no
684,Removed session,no
685,Removed session,no
686,Accepted password for root from ,yes
687,is owned by root and has written permissions to anyone,yes
688,Removed session,no
689,Changed attributes:,yes
690,Removed session,no
691,The Secret Service was already initialized,yes
692,"apparmor=""DENIED""",yes
693,USER=root ; COMMAND=,yes
694,"apparmor=""DENIED""",yes
695,"apparmor=""DENIED""",yes
696,Changed attributes:,yes
697,Changed attributes:,yes
698,session opened,yes
699,Registered Authentication Agent,yes
700,Accepted password for root from ,yes
701,Accepted password for root from ,yes
702,is owned by root and has written permissions to anyone,yes
703,Removed session,no
704,"apparmor=""DENIED""",yes
705,session closed,no
706,Accepted password for root from ,yes
707,USER=root ; COMMAND=,yes
708,Registered Authentication Agent,yes
709,is owned by root and has written permissions to anyone,yes
710,The Secret Service was already initialized,yes
711,USER=root ; COMMAND=,yes
712,"apparmor=""DENIED""",yes
713,Changed attributes:,yes
714,Changed attributes:,yes
715,The SSH agent was already initialized,no
716,is owned by root and has written permissions to anyone,yes
717,"apparmor=""DENIED""",yes
718,session closed,no
719,Changed attributes:,yes
720,"apparmor=""DENIED""",yes
721,Accepted password for root from ,yes
722,Removed session,no
723,Accepted password for root from ,yes
724,Changed attributes:,yes
725,"apparmor=""DENIED""",yes
726,Registered Authentication Agent,yes
727,session opened,yes
728,Changed attributes:,yes
729,session opened,yes
730,The SSH agent was already initialized,no
731,Removed session,no
732,is owned by root and has written permissions to anyone,yes
733,session closed,no
734,USER=root ; COMMAND=,yes
735,Accepted password for root from ,yes
736,session closed,no
737,The Secret Service was already initialized,yes
738,session closed,no
739,is owned by root and has written permissions to anyone,yes
740,"apparmor=""DENIED""",yes
741,Accepted password for root from ,yes
742,session opened,yes
743,The SSH agent was already initialized,no
744,Removed session,no
745,Accepted password for root from ,yes
746,Removed session,no
747,Accepted password for root from ,yes
748,The SSH agent was already initialized,no
749,session closed,no
750,session opened,yes
751,Changed attributes:,yes
752,Removed session,no
753,"apparmor=""DENIED""",yes
754,USER=root ; COMMAND=,yes
755,Accepted password for root from ,yes
756,Changed attributes:,yes
757,session closed,no
758,"apparmor=""DENIED""",yes
759,Removed session,no
760,session opened,yes
761,is owned by root and has written permissions to anyone,yes
762,"apparmor=""DENIED""",yes
763,Accepted password for root from ,yes
764,Removed session,no
765,Changed attributes:,yes
766,"apparmor=""DENIED""",yes
767,Removed session,no
768,session opened,yes
769,session opened,yes
770,Registered Authentication Agent,yes
771,Removed session,no
772,Removed session,no
773,session opened,yes
774,"apparmor=""DENIED""",yes
775,"apparmor=""DENIED""",yes
776,"apparmor=""DENIED""",yes
777,is owned by root and has written permissions to anyone,yes
778,The Secret Service was already initialized,yes
779,Registered Authentication Agent,yes
780,session opened,yes
781,"apparmor=""DENIED""",yes
782,Removed session,no
783,The SSH agent was already initialized,no
784,The SSH agent was already initialized,no
785,Removed session,no
786,Accepted password for root from ,yes
787,session opened,yes
788,USER=root ; COMMAND=,yes
789,The SSH agent was already initialized,no
790,Changed attributes:,yes
791,is owned by root and has written permissions to anyone,yes
792,The SSH agent was already initialized,no
793,Removed session,no
794,"apparmor=""DENIED""",yes
795,Registered Authentication Agent,yes
796,Accepted password for root from ,yes
797,Changed attributes:,yes
798,Registered Authentication Agent,yes
799,is owned by root and has written permissions to anyone,yes
800,session closed,no
801,is owned by root and has written permissions to anyone,yes
802,Changed attributes:,yes
803,"apparmor=""DENIED""",yes
804,USER=root ; COMMAND=,yes
805,session opened,yes
806,session opened,yes
807,session closed,no
808,"apparmor=""DENIED""",yes
809,"apparmor=""DENIED""",yes
810,Accepted password for root from ,yes
811,Accepted password for root from ,yes
812,Removed session,no
813,Accepted password for root from ,yes
814,Changed attributes:,yes
815,Removed session,no
816,Accepted password for root from ,yes
817,The SSH agent was already initialized,no
818,Accepted password for root from ,yes
819,Removed session,no
820,The SSH agent was already initialized,no
821,Removed session,no
822,Changed attributes:,yes
823,session opened,yes
824,Changed attributes:,yes
825,Changed attributes:,yes
826,Registered Authentication Agent,yes
827,is owned by root and has written permissions to anyone,yes
828,USER=root ; COMMAND=,yes
829,Changed attributes:,yes
830,session opened,yes
831,session opened,yes
832,The Secret Service was already initialized,yes
833,is owned by root and has written permissions to anyone,yes
834,Registered Authentication Agent,yes
835,"apparmor=""DENIED""",yes
836,Accepted password for root from ,yes
837,is owned by root and has written permissions to anyone,yes
838,USER=root ; COMMAND=,yes
839,session opened,yes
840,session opened,yes
841,USER=root ; COMMAND=,yes
842,Accepted password for root from ,yes
843,session opened,yes
844,The SSH agent was already initialized,no
845,Changed attributes:,yes
846,Removed session,no
847,Changed attributes:,yes
848,The SSH agent was already initialized,no
849,is owned by root and has written permissions to anyone,yes
850,"apparmor=""DENIED""",yes
851,Registered Authentication Agent,yes
852,Accepted password for root from ,yes
853,"apparmor=""DENIED""",yes
854,Accepted password for root from ,yes
855,Removed session,no
856,"apparmor=""DENIED""",yes
857,The SSH agent was already initialized,no
858,The SSH agent was already initialized,no
859,"apparmor=""DENIED""",yes
860,session opened,yes
861,Accepted password for root from ,yes
862,session opened,yes
863,"apparmor=""DENIED""",yes
864,session closed,no
865,Changed attributes:,yes
866,is owned by root and has written permissions to anyone,yes
867,"apparmor=""DENIED""",yes
868,Removed session,no
869,"apparmor=""DENIED""",yes
870,session opened,yes
871,session opened,yes
872,is owned by root and has written permissions to anyone,yes
873,session opened,yes
874,Accepted password for root from ,yes
875,Accepted password for root from ,yes
876,Accepted password for root from ,yes
877,USER=root ; COMMAND=,yes
878,Changed attributes:,yes
879,Registered Authentication Agent,yes
880,The SSH agent was already initialized,no
881,Accepted password for root from ,yes
882,Changed attributes:,yes
883,Accepted password for root from ,yes
884,Changed attributes:,yes
885,Removed session,no
886,Accepted password for root from ,yes
887,Accepted password for root from ,yes
888,session opened,yes
889,The SSH agent was already initialized,no
890,session closed,no
891,The SSH agent was already initialized,no
892,The Secret Service was already initialized,yes
893,The SSH agent was already initialized,no
894,"apparmor=""DENIED""",yes
895,The SSH agent was already initialized,no
896,is owned by root and has written permissions to anyone,yes
897,Accepted password for root from ,yes
898,"apparmor=""DENIED""",yes
899,session opened,yes
900,session closed,no
901,"apparmor=""DENIED""",yes
902,The SSH agent was already initialized,no
903,Registered Authentication Agent,yes
904,The Secret Service was already initialized,yes
905,"apparmor=""DENIED""",yes
906,Removed session,no
907,The Secret Service was already initialized,yes
908,Registered Authentication Agent,yes
909,Accepted password for root from ,yes
910,Accepted password for root from ,yes
911,"apparmor=""DENIED""",yes
912,"apparmor=""DENIED""",yes
913,The Secret Service was already initialized,yes
914,The Secret Service was already initialized,yes
915,is owned by root and has written permissions to anyone,yes
916,session closed,no
917,The Secret Service was already initialized,yes
918,Changed attributes:,yes
919,Removed session,no
920,Accepted password for root from ,yes
921,Accepted password for root from ,yes
922,Registered Authentication Agent,yes
923,USER=root ; COMMAND=,yes
924,Changed attributes:,yes
925,is owned by root and has written permissions to anyone,yes
926,The SSH agent was already initialized,no
927,Registered Authentication Agent,yes
928,The Secret Service was already initialized,yes
929,Removed session,no
930,session closed,no
931,USER=root ; COMMAND=,yes
932,Registered Authentication Agent,yes
933,Accepted password for root from ,yes
934,is owned by root and has written permissions to anyone,yes
935,Removed session,no
936,Removed session,no
937,Changed attributes:,yes
938,The SSH agent was already initialized,no
939,The Secret Service was already initialized,yes
940,Accepted password for root from ,yes
941,session opened,yes
942,"apparmor=""DENIED""",yes
943,session closed,no
944,Registered Authentication Agent,yes
945,The Secret Service was already initialized,yes
946,USER=root ; COMMAND=,yes
947,Changed attributes:,yes
948,is owned by root and has written permissions to anyone,yes
949,Changed attributes:,yes
950,"apparmor=""DENIED""",yes
951,The Secret Service was already initialized,yes
952,session opened,yes
953,session opened,yes
954,The SSH agent was already initialized,no
955,Registered Authentication Agent,yes
956,Changed attributes:,yes
957,The SSH agent was already initialized,no
958,"apparmor=""DENIED""",yes
959,Removed session,no
960,session opened,yes
961,session opened,yes
962,Accepted password for root from ,yes
963,Removed session,no
964,Changed attributes:,yes
965,Registered Authentication Agent,yes
966,session closed,no
967,session closed,no
968,Changed attributes:,yes
969,"apparmor=""DENIED""",yes
970,is owned by root and has written permissions to anyone,yes
971,is owned by root and has written permissions to anyone,yes
972,USER=root ; COMMAND=,yes
973,The SSH agent was already initialized,no
974,is owned by root and has written permissions to anyone,yes
975,"apparmor=""DENIED""",yes
976,Removed session,no
977,The SSH agent was already initialized,no
978,The SSH agent was already initialized,no
979,"apparmor=""DENIED""",yes
980,Removed session,no
981,The SSH agent was already initialized,no
982,session closed,no
983,Registered Authentication Agent,yes
984,Registered Authentication Agent,yes
985,Removed session,no
986,"apparmor=""DENIED""",yes
987,"apparmor=""DENIED""",yes
